episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
287,13.65,1.1056,0.8019,6,16,,,
288,-0.15,0.0,0.8018,1,0,,,
289,-1.25,0.8181,0.8012,8,1,,,
290,-1.1,1.1007,0.8004,10,2,,,
291,5.65,1.4233,0.8001,4,7,,,
292,1.0,0.9542,0.7991,12,3,,,
293,7.6,1.083,0.7984,8,9,,,
294,18.7,1.2607,0.7978,7,21,,,
295,-0.9,1.1925,0.7975,5,0,,,
296,9.0,1.0603,0.7966,12,12,,,
297,-0.15,0.9694,0.7964,1,0,,,
298,15.95,1.0196,0.7957,10,18,,,
299,-0.6,0.6855,0.7954,4,0,,,
300,4.6,1.279,0.7947,7,7,,,
301,0.15,1.2374,0.7938,9,2,,,
302,17.75,1.1212,0.7932,10,20,,,
303,2.15,0.9878,0.7921,13,5,,,
304,-0.15,1.2654,0.7914,10,2,,,
305,56.55,1.1624,0.7908,8,60,,,
306,7.65,1.3065,0.7898,11,12,,,
307,12.7,1.2027,0.789,10,16,,,
308,1.6,0.9706,0.7887,2,2,,,
309,34.5,1.0176,0.7877,9,39,,,
310,23.0,1.3268,0.7868,13,28,,,
311,13.6,1.1322,0.7864,5,16,,,
312,5.95,1.0924,0.7857,11,12,,,
313,-1.65,0.9397,0.7849,9,0,,,
314,-2.0,1.0592,0.7839,12,0,,,
315,24.3,1.0008,0.7834,7,27,,,
316,-0.45,1.013,0.7831,3,0,,,
317,9.95,1.2043,0.7827,7,12,,,
318,36.5,1.1791,0.7817,15,42,,,
319,7.0,0.9469,0.7811,6,9,,,
320,-0.45,1.1469,0.7808,3,0,,,
321,2.65,0.867,0.7799,13,8,,,
322,-2.2,1.2021,0.7788,12,0,,,
323,-2.0,1.0758,0.7778,13,0,,,
324,15.1,1.115,0.7769,15,21,,,
325,28.3,1.1666,0.7759,14,33,,,
326,2.6,1.1706,0.7749,14,5,,,
327,25.5,1.0553,0.7739,14,30,,,
328,-0.6,1.1602,0.7733,8,3,,,
329,0.7,1.2198,0.7728,6,3,,,
330,6.9,1.2306,0.7724,4,8,,,
331,6.65,1.3338,0.7721,5,8,,,
332,-0.15,1.0517,0.7716,1,0,,,
333,40.85,1.1411,0.771,10,44,,,
334,1.75,1.116,0.77,11,6,,,
335,8.5,1.0464,0.7694,8,12,,,
336,2.7,1.1808,0.7685,11,6,,,
337,-0.05,1.1096,0.7675,9,2,,,
338,4.75,0.699,0.7674,1,5,,,
339,-0.75,1.3458,0.7669,5,0,,,
340,-0.7,1.294,0.7661,9,1,,,
341,1.05,1.1049,0.7651,11,5,,,
342,3.7,1.0505,0.7644,7,7,,,
343,9.2,1.0258,0.764,6,13,,,
344,17.8,1.0147,0.7629,13,21,,,
345,24.8,1.0228,0.7622,9,28,,,
346,-1.1,1.1236,0.7614,9,2,,,
347,-0.65,1.3024,0.761,4,0,,,
348,17.05,1.3011,0.7606,6,19,,,
349,-1.4,1.0611,0.7599,9,0,,,
350,15.9,1.0153,0.7589,12,20,,,
351,-1.5,1.191,0.7581,10,1,,,
352,0.55,0.9957,0.7571,15,3,,,
353,7.0,0.9784,0.7562,14,11,,,
354,25.95,0.9965,0.7552,14,35,,,
355,4.5,0.9549,0.7543,10,8,,,
356,22.9,1.0777,0.7533,15,28,,,
357,9.05,1.0398,0.7524,9,14,,,
358,0.85,0.9415,0.7518,7,2,,,
359,-0.8,1.0114,0.7515,3,0,,,
360,4.25,1.0495,0.751,8,7,,,
361,-1.55,1.1154,0.7502,9,0,,,
362,5.2,1.2479,0.7496,6,7,,,
