episode,reward,loss,mean_q,epsilon,steps,slices,covered,hard_total,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
294,1.33221,3.900289,13.784556,0.85788,2,1,0,0,,,,,,,,
291,2.858216,3.575542,13.896011,0.8575,8,1,0,0,,,,,,,,
297,3.727857,2.410017,13.896011,0.856867,2,1,0,0,,,,,,,,
293,15.143638,2.791343,13.896011,0.856613,7,1,0,0,,,,,,,,
288,75.527829,0.0,13.896011,0.856297,16,1,0,0,,,,,,,,
284,2.814444,3.107748,13.896011,0.856233,20,1,0,0,,,,,,,,
300,-0.042231,1.218163,13.896011,0.856107,1,1,0,0,,,,,,,,
299,0.151996,4.01886,13.896011,0.855853,2,1,0,0,,,,,,,,
295,45.479517,0.0,14.028229,0.855157,7,1,0,0,,,,,,,,
296,0.419143,0.0,14.193338,0.854523,8,1,0,0,,,,,,,,
305,11.216374,0.0,14.29135,0.852623,5,1,0,0,,,,,,,,
306,13.585525,0.0,14.470365,0.85199,5,1,0,0,,,,,,,,
290,31.378011,0.0,14.470365,0.851863,20,1,0,0,,,,,,,,
307,1.170853,0.0,14.470365,0.85161,2,1,0,0,,,,,,,,
298,39.323576,3.02442,14.798654,0.8499,15,1,0,0,,,,,,,,
301,12.78673,0.0,14.960393,0.849203,14,1,0,0,,,,,,,,
304,31.393117,3.241452,15.300232,0.848253,15,1,0,0,,,,,,,,
303,79.703415,3.163313,15.441794,0.847493,17,1,0,0,,,,,,,,
308,62.297919,0.0,15.415878,0.84743,9,1,0,0,,,,,,,,
309,48.419881,0.0,15.415878,0.847303,9,1,0,0,,,,,,,,
316,-0.792231,0.0,15.415878,0.846797,1,1,0,0,,,,,,,,
315,5.735802,0.0,15.5424,0.846417,2,1,0,0,,,,,,,,
302,50.365291,3.174422,15.5424,0.8461,20,1,0,0,,,,,,,,
318,-0.047969,0.0,15.5424,0.84591,1,1,0,0,,,,,,,,
312,15.124769,0.0,15.5424,0.845657,7,1,0,0,,,,,,,,
317,12.17103,0.0,15.365919,0.84477,4,1,0,0,,,,,,,,
310,106.903871,0.0,15.375186,0.842997,17,1,0,0,,,,,,,,
320,32.325022,0.0,15.375186,0.84287,6,1,0,0,,,,,,,,
319,40.66382,3.045043,15.375186,0.842553,7,1,0,0,,,,,,,,
323,2.703145,0.0,15.317535,0.841983,2,1,0,0,,,,,,,,
314,27.694692,2.946897,15.317535,0.84192,11,1,0,0,,,,,,,,
324,-0.820155,0.0,15.317535,0.841857,2,1,0,0,,,,,,,,
311,26.21067,3.306687,15.863006,0.839767,20,1,0,0,,,,,,,,
325,0.515644,3.108539,15.863006,0.839513,6,1,0,0,,,,,,,,
328,28.550534,0.0,16.505655,0.838817,6,1,0,0,,,,,,,,
329,5.175093,4.301227,16.505655,0.838753,2,1,0,0,,,,,,,,
322,16.653617,0.0,16.640981,0.838183,13,1,0,0,,,,,,,,
313,78.641655,3.09081,16.640981,0.83812,20,1,0,0,,,,,,,,
332,22.503199,3.362537,17.100766,0.835713,6,1,0,0,,,,,,,,
333,33.930512,0.0,17.100766,0.83565,5,1,0,0,,,,,,,,
321,43.135735,0.0,17.100766,0.835523,20,1,0,0,,,,,,,,
336,-0.042227,0.0,17.236761,0.835143,1,1,0,0,,,,,,,,
334,12.195693,3.303054,17.236761,0.83508,6,1,0,0,,,,,,,,
337,-0.047969,0.0,17.236761,0.835017,1,1,0,0,,,,,,,,
327,58.582366,2.863116,17.236761,0.83432,15,1,0,0,,,,,,,,
339,9.300022,3.302563,17.660499,0.83204,6,1,0,0,,,,,,,,
326,26.680809,0.0,17.660499,0.83185,20,1,0,0,,,,,,,,
340,38.15395,0.0,17.866196,0.83147,7,1,0,0,,,,,,,,
343,-0.047969,0.0,17.866196,0.831343,1,1,0,0,,,,,,,,
330,88.401074,2.853646,17.975504,0.8309,17,1,0,0,,,,,,,,
344,1.201039,0.0,17.975504,0.830457,2,1,0,0,,,,,,,,
331,48.987216,0.0,18.019212,0.830203,17,1,0,0,,,,,,,,
338,19.60524,0.0,18.019212,0.830077,10,1,0,0,,,,,,,,
345,2.833906,0.0,18.019212,0.829823,3,1,0,0,,,,,,,,
348,-0.797969,0.0,18.084638,0.829697,1,1,0,0,,,,,,,,
349,-0.047969,0.0,18.084638,0.82957,1,1,0,0,,,,,,,,
347,1.448873,0.0,18.084638,0.829443,2,1,0,0,,,,,,,,
342,43.547686,3.176532,18.084638,0.829,6,1,0,0,,,,,,,,
346,4.472014,3.375522,18.084638,0.828873,4,1,0,0,,,,,,,,
350,8.711734,0.0,18.084638,0.82881,2,1,0,0,,,,,,,,
335,26.592757,3.28652,18.220967,0.82862,14,1,0,0,,,,,,,,
356,-0.047969,0.0,18.220967,0.828303,1,1,0,0,,,,,,,,
354,-0.827785,3.437013,18.319723,0.827987,2,1,0,0,,,,,,,,
351,14.018473,0.0,18.429283,0.82767,4,1,0,0,,,,,,,,
352,22.444028,0.0,18.429283,0.827543,4,1,0,0,,,,,,,,
341,32.158319,3.128927,18.429283,0.827227,14,1,0,0,,,,,,,,
361,-0.797969,0.0,18.701066,0.827037,1,1,0,0,,,,,,,,
357,9.063191,3.301787,18.829593,0.826087,5,1,0,0,,,,,,,,
359,19.229437,3.605661,18.829593,0.82596,4,1,0,0,,,,,,,,
363,33.64624,0.0,18.868683,0.823997,6,1,0,0,,,,,,,,
362,52.158572,3.14075,18.664423,0.821653,11,1,0,0,,,,,,,,
367,-0.042238,2.982685,18.664423,0.821147,1,1,0,0,,,,,,,,
355,85.100458,3.29791,18.664423,0.820767,16,1,0,0,,,,,,,,
358,35.861562,0.0,18.664423,0.820197,16,1,0,0,,,,,,,,
353,25.970586,0.0,18.664423,0.819817,19,1,0,0,,,,,,,,
