episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
384,13.5,0.8793,0.7324,10,18,,,
385,-2.55,0.9572,0.7317,9,0,,,
386,0.15,0.8996,0.731,11,6,,,
387,-0.85,1.0533,0.73,12,5,,,
388,113.2,1.0065,0.729,12,127,,,
389,4.25,0.9308,0.7282,9,20,,,
390,16.85,1.0177,0.7276,9,26,,,
391,-2.35,0.9386,0.7266,12,2,,,
392,9.85,0.7859,0.726,8,16,,,
393,-0.0,0.9163,0.7254,8,6,,,
394,4.9,1.015,0.7244,10,7,,,
395,3.3,0.7727,0.7241,5,6,,,
396,54.2,1.1065,0.7231,10,62,,,
397,0.55,0.8077,0.7225,8,7,,,
398,-1.95,0.9074,0.7218,9,9,,,
399,1.9,0.9463,0.721,10,4,,,
400,8.3,0.973,0.7202,7,11,,,
401,13.2,0.8943,0.7196,8,18,,,
402,-7.95,0.8322,0.7187,14,12,,,
403,0.1,0.9529,0.7181,7,4,,,
404,-0.3,0.7383,0.7173,8,3,,,
405,59.5,1.0269,0.7165,11,82,,,
406,0.8,1.0316,0.7154,10,5,,,
407,0.3,1.0908,0.715,5,6,,,
408,7.3,0.9858,0.7144,8,13,,,
409,2.85,1.0993,0.7135,12,9,,,
410,19.55,1.0052,0.7131,6,29,,,
411,7.15,0.9851,0.7121,14,16,,,
412,2.6,0.7784,0.7118,5,5,,,
413,-1.8,1.0616,0.7113,7,0,,,
414,18.25,1.0176,0.7103,13,37,,,
415,5.5,1.0532,0.7097,7,7,,,
416,4.1,0.8239,0.7093,5,8,,,
417,8.45,1.0271,0.7083,9,11,,,
418,-1.35,0.7832,0.7073,9,0,,,
419,16.85,1.0419,0.7065,8,23,,,
420,-3.35,0.9577,0.7058,8,1,,,
421,2.8,0.9303,0.705,8,10,,,
422,-0.05,1.0141,0.7042,8,13,,,
423,-0.75,1.4343,0.704,3,0,,,
424,8.1,1.0433,0.7031,14,12,,,
425,7.25,0.9551,0.7028,3,8,,,
426,8.6,1.0615,0.7021,8,11,,,
427,4.4,1.0109,0.7013,10,23,,,
428,8.95,0.9153,0.7003,13,16,,,
429,2.9,1.0046,0.6999,4,5,,,
430,5.8,0.8883,0.6989,14,31,,,
431,-1.25,0.9017,0.6982,9,1,,,
432,13.45,0.9665,0.6975,8,19,,,
433,11.2,0.976,0.6967,9,16,,,
434,15.95,1.0604,0.6964,5,23,,,
435,11.35,0.8746,0.6957,9,16,,,
436,0.25,0.9391,0.6953,5,1,,,
437,-0.9,0.886,0.6949,7,3,,,
438,5.2,0.9961,0.694,6,10,,,
439,2.5,1.166,0.6936,5,4,,,
440,2.4,0.9673,0.6933,4,3,,,
441,-1.45,1.0818,0.6926,9,5,,,
442,6.1,1.1376,0.6921,6,7,,,
443,-0.05,1.0751,0.6917,5,1,,,
444,-3.85,1.0668,0.6907,13,2,,,
445,16.75,0.9788,0.6903,6,22,,,
446,11.8,1.0007,0.6897,10,25,,,
447,1.9,0.9015,0.6887,11,4,,,
448,5.45,1.0236,0.6876,11,11,,,
449,-0.8,0.9469,0.6873,3,1,,,
450,5.35,1.0631,0.6863,11,10,,,
451,-0.95,1.1353,0.6858,4,1,,,
452,-0.9,0.8129,0.6848,11,3,,,
453,4.7,1.1437,0.684,8,8,,,
454,-2.1,0.9378,0.683,12,0,,,
455,40.75,0.936,0.6825,7,49,,,
456,9.85,1.0679,0.6821,6,16,,,
457,-1.65,1.0989,0.6811,14,3,,,
458,3.05,0.9399,0.6802,12,5,,,
459,2.25,0.986,0.6795,8,30,,,
460,20.2,0.9337,0.6785,12,40,,,
461,10.3,1.0527,0.678,8,16,,,
462,5.3,0.9901,0.6772,11,11,,,
463,8.75,0.7785,0.6766,7,11,,,
464,9.6,0.9684,0.6756,14,21,,,
465,2.0,0.9632,0.6747,7,8,,,
466,20.8,1.1061,0.6742,6,25,,,
467,21.55,0.9413,0.6732,14,37,,,
468,26.5,0.9897,0.6726,8,31,,,
469,-0.6,0.8683,0.6722,3,0,,,
470,-0.45,1.0873,0.6719,3,0,,,
471,14.2,1.0547,0.6712,9,25,,,
472,13.35,1.0253,0.6705,8,21,,,
473,-1.65,0.9612,0.6697,9,0,,,
474,1.3,0.9341,0.6691,7,4,,,
475,18.2,1.1436,0.6686,7,26,,,
476,0.3,1.0137,0.6676,11,3,,,
477,14.95,0.8411,0.6668,10,22,,,
478,-1.5,0.8265,0.6665,3,0,,,
479,2.5,1.1486,0.6663,2,4,,,
480,48.5,0.9698,0.6656,10,65,,,
481,21.7,0.9543,0.6649,9,34,,,
482,1.5,1.2155,0.6639,12,12,,,
483,-1.25,0.9325,0.6629,8,1,,,
484,16.55,0.9015,0.6622,10,23,,,
485,-1.35,0.8731,0.6612,10,3,,,
486,-1.0,0.8616,0.6607,6,2,,,
487,8.45,0.8975,0.6602,6,14,,,
488,32.75,0.7719,0.6595,9,41,,,
489,0.6,1.1398,0.6585,9,6,,,
490,15.5,0.8654,0.6575,13,23,,,
491,6.3,0.9591,0.6565,13,9,,,
492,13.35,0.8952,0.6556,11,21,,,
493,30.65,0.9767,0.655,6,38,,,
494,11.75,1.1943,0.6545,7,14,,,
495,17.55,0.8593,0.654,7,21,,,
496,-0.5,0.8921,0.653,8,1,,,
497,1.6,0.8539,0.6524,8,4,,,
498,23.35,0.918,0.6516,9,46,,,
499,6.2,1.0117,0.6512,5,14,,,
500,-3.0,0.9879,0.6502,11,0,0.4454,10.465,-0.3353
501,21.4,1.0707,0.6492,15,52,,,
502,-2.95,0.946,0.6484,13,2,,,
503,2.75,0.9519,0.6479,7,5,,,
504,-0.6,0.935,0.6477,2,0,,,
505,-0.5,1.0247,0.6473,5,1,,,
506,-1.55,0.94,0.6463,13,1,,,
507,-0.3,0.9067,0.6462,1,0,,,
508,-0.9,1.18,0.6455,6,0,,,
509,7.0,1.131,0.6451,5,10,,,
510,3.6,0.8315,0.6441,9,15,,,
511,2.5,1.0095,0.6434,6,4,,,
512,3.75,0.8471,0.6424,9,6,,,
513,25.95,0.8953,0.6419,7,30,,,
514,21.2,0.9439,0.6408,12,29,,,
515,16.95,0.97,0.6402,7,21,,,
516,5.65,0.9665,0.6395,6,7,,,
517,-0.75,0.9758,0.6389,5,0,,,
518,-3.2,1.0852,0.6381,12,7,,,
519,12.65,0.8904,0.637,15,20,,,
520,0.8,0.978,0.6365,5,2,,,
521,19.85,0.8476,0.6355,12,23,,,
522,21.9,0.9315,0.635,4,24,,,
523,3.25,1.1049,0.6345,5,4,,,
524,1.4,0.9746,0.6338,8,5,,,
525,-0.35,0.9443,0.6332,6,1,,,
526,0.6,1.0094,0.6322,12,6,,,
527,18.3,0.9422,0.6315,8,24,,,
528,3.55,1.0072,0.6313,2,4,,,
529,-1.8,0.8845,0.6303,9,0,,,
530,3.15,1.0682,0.6293,14,12,,,
531,17.65,0.8704,0.6285,7,28,,,
532,1.3,0.8923,0.6275,14,16,,,
533,-0.75,0.8776,0.6271,4,0,,,
534,1.1,0.7829,0.6263,8,5,,,
535,-0.3,1.012,0.626,2,0,,,
536,30.25,0.8288,0.6252,12,46,,,
537,0.9,0.9489,0.6244,8,3,,,
538,37.55,0.9783,0.6234,13,65,,,
539,6.1,1.0525,0.6229,8,10,,,
540,4.5,1.051,0.6219,11,9,,,
541,13.05,0.8654,0.6209,12,24,,,
542,1.8,0.8711,0.6201,9,6,,,
543,3.55,0.9305,0.6196,6,7,,,
544,31.45,0.9825,0.6185,13,46,,,
545,24.1,0.9175,0.6175,13,43,,,
546,-5.35,1.0738,0.6171,5,2,,,
547,-3.0,0.9861,0.6161,10,0,,,
548,0.05,0.7379,0.6158,4,2,,,
549,21.0,0.9341,0.615,10,33,,,
550,6.1,0.6067,0.6148,2,7,,,
551,-5.15,0.7866,0.6138,13,4,,,
552,-2.0,1.0563,0.6128,12,1,,,
553,0.45,1.0091,0.6118,9,3,,,
554,2.15,1.0477,0.6111,9,5,,,
555,-4.45,0.9037,0.6103,8,2,,,
556,2.95,0.6789,0.6101,2,4,,,
557,10.7,0.8342,0.6096,5,14,,,
558,21.5,1.0491,0.6087,11,35,,,
559,0.7,1.1141,0.6085,2,1,,,
560,-0.3,0.8091,0.6085,1,0,,,
561,14.2,0.9257,0.6081,6,19,,,
562,-5.35,0.9859,0.6074,10,8,,,
563,-2.4,0.8954,0.6064,11,0,,,
564,-1.5,0.865,0.6054,9,0,,,
565,-3.3,0.9588,0.6045,12,3,,,
566,3.45,0.9766,0.6036,13,9,,,
567,-3.9,1.0093,0.6026,13,0,,,
568,-0.3,0.5933,0.6025,2,0,,,
569,1.85,1.0749,0.6017,10,5,,,
570,16.2,0.8754,0.6012,4,18,,,
571,15.0,0.8404,0.6006,8,21,,,
572,3.8,0.8847,0.5995,10,8,,,
573,-1.8,0.8948,0.599,7,0,,,
574,7.6,0.8176,0.598,14,34,,,
575,15.0,0.8013,0.5975,7,21,,,
576,41.05,1.0358,0.5964,13,61,,,
577,-0.85,0.9351,0.5956,10,2,,,
578,-0.1,0.8771,0.5945,12,2,,,
579,8.85,0.8041,0.594,7,12,,,
580,-4.85,0.9903,0.593,12,1,,,
581,3.2,0.8806,0.5925,5,5,,,
582,16.75,0.9738,0.5919,5,19,,,
583,-1.85,0.798,0.5913,7,7,,,
584,-1.55,0.9573,0.5905,9,4,,,
585,-1.5,0.9371,0.5895,10,0,,,
586,1.3,0.6847,0.5888,7,4,,,
587,7.05,0.9532,0.5881,8,12,,,
588,31.25,0.8766,0.5873,7,38,,,
589,-0.3,1.0718,0.587,2,0,,,
590,21.7,0.7857,0.5862,11,34,,,
591,-0.6,0.9594,0.5856,4,0,,,
592,1.3,0.7724,0.5851,5,4,,,
593,1.6,0.9797,0.5845,8,4,,,
594,16.75,0.9301,0.5837,9,28,,,
595,4.8,0.9968,0.5832,5,6,,,
596,2.7,0.7624,0.5826,7,6,,,
597,1.3,0.8388,0.5821,6,4,,,
598,22.5,0.7393,0.5814,10,39,,,
599,11.5,0.7252,0.5808,6,16,,,
