episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
378,-5.0,0.8939,0.7376,10,0.0,,,
379,2.0,0.8877,0.7366,6,5.0,,,
380,4.0,0.9629,0.7358,8,8.0,,,
381,-2.5,0.9886,0.7348,11,3.0,,,
382,-1.5,0.9831,0.7342,5,1.0,,,
383,6.0,1.062,0.7332,6,9.0,,,
384,13.5,0.8567,0.7324,7,17.0,,,
385,-3.0,1.1121,0.7317,6,0.0,,,
386,8.0,0.9473,0.731,4,10.0,,,
387,-2.0,1.0394,0.73,4,0.0,,,
388,123.5,1.1009,0.729,11,129.0,,,
389,17.0,1.1229,0.7282,8,21.0,,,
390,8.5,0.9765,0.7276,5,11.0,,,
391,-2.0,1.1299,0.7266,6,1.0,,,
392,7.5,1.0238,0.726,3,9.0,,,
393,2.0,0.7949,0.7254,8,6.0,,,
394,2.5,0.9149,0.7244,9,7.0,,,
395,0.0,0.8827,0.7241,0,0.0,,,
396,84.5,1.1236,0.7231,9,89.0,,,
397,3.5,0.8944,0.7225,5,6.0,,,
398,-0.5,1.1717,0.7218,3,1.0,,,
399,3.5,0.8536,0.721,7,7.0,,,
400,-2.5,1.0142,0.7202,7,1.0,,,
401,4.0,1.0359,0.7196,4,6.0,,,
402,4.5,1.0703,0.7187,7,8.0,,,
403,-0.5,1.0913,0.7181,5,2.0,,,
404,-2.0,0.9461,0.7173,4,0.0,,,
405,26.5,1.0632,0.7165,5,29.0,,,
406,2.5,0.9661,0.7154,11,8.0,,,
407,2.0,0.9988,0.715,2,3.0,,,
408,11.0,1.0869,0.7144,6,14.0,,,
409,3.5,1.0515,0.7135,7,7.0,,,
410,20.5,0.8293,0.7131,3,22.0,,,
411,0.0,0.8801,0.7121,4,2.0,,,
412,0.0,0.9838,0.7118,0,0.0,,,
413,0.0,0.9607,0.7113,0,0.0,,,
414,16.5,1.0157,0.7103,9,21.0,,,
415,-1.0,1.1064,0.7097,4,1.0,,,
416,-1.5,1.1143,0.7093,3,0.0,,,
417,-1.0,0.8903,0.7083,6,2.0,,,
418,-4.0,0.9387,0.7073,8,0.0,,,
419,3.5,1.003,0.7065,5,6.0,,,
420,-3.0,0.9432,0.7058,6,0.0,,,
421,16.5,0.928,0.705,5,19.0,,,
422,18.5,1.0142,0.7042,9,23.0,,,
423,-0.5,0.9968,0.704,1,0.0,,,
424,0.0,1.0005,0.7031,4,2.0,,,
425,4.5,0.6537,0.7028,3,6.0,,,
426,7.5,0.8863,0.7021,7,11.0,,,
427,16.0,0.9173,0.7013,6,19.0,,,
428,-1.0,0.9279,0.7003,6,2.0,,,
429,-1.0,1.0685,0.6999,2,0.0,,,
430,23.5,1.0543,0.6989,11,29.0,,,
431,-1.5,0.9825,0.6982,3,0.0,,,
432,22.0,1.0576,0.6975,10,27.0,,,
433,6.5,1.0103,0.6967,7,10.0,,,
434,14.5,0.8018,0.6964,3,16.0,,,
435,-2.0,1.1784,0.6957,4,0.0,,,
436,-0.5,0.8836,0.6953,3,1.0,,,
437,1.5,0.7878,0.6949,3,3.0,,,
438,3.0,1.1377,0.694,8,7.0,,,
439,2.5,0.9669,0.6936,5,5.0,,,
440,0.0,1.0658,0.6933,0,0.0,,,
441,2.0,0.9905,0.6926,10,7.0,,,
442,7.0,0.7281,0.6921,4,9.0,,,
443,-1.0,0.8262,0.6917,2,0.0,,,
444,-3.5,0.9509,0.6907,7,0.0,,,
445,19.5,1.08,0.6903,3,21.0,,,
446,9.0,0.8626,0.6897,2,10.0,,,
447,-2.0,0.9295,0.6887,10,3.0,,,
448,6.0,0.9579,0.6876,6,9.0,,,
449,-1.5,0.9483,0.6873,3,0.0,,,
450,6.0,1.0951,0.6863,12,12.0,,,
451,2.0,1.0084,0.6858,4,4.0,,,
452,-2.0,1.0729,0.6848,10,3.0,,,
453,10.5,1.0085,0.684,9,15.0,,,
454,-3.5,0.8734,0.683,7,0.0,,,
455,10.0,0.9084,0.6825,6,13.0,,,
456,2.5,0.9238,0.6821,3,4.0,,,
457,-0.5,1.0724,0.6811,5,2.0,,,
458,-2.5,0.8295,0.6802,5,0.0,,,
459,2.0,0.8467,0.6795,8,6.0,,,
460,45.0,0.9146,0.6785,12,51.0,,,
461,-1.0,1.0153,0.678,4,1.0,,,
462,-3.0,0.8962,0.6772,6,0.0,,,
463,5.0,0.9194,0.6766,4,7.0,,,
464,12.0,0.9521,0.6756,8,16.0,,,
465,3.0,0.9502,0.6747,8,7.0,,,
466,29.0,0.8401,0.6742,4,31.0,,,
467,17.5,1.008,0.6732,11,23.0,,,
468,22.5,1.0065,0.6726,7,26.0,,,
469,-0.5,1.0033,0.6722,1,0.0,,,
470,-1.0,0.8924,0.6719,2,0.0,,,
471,25.5,0.9599,0.6712,9,30.0,,,
472,6.5,0.6833,0.6705,3,8.0,,,
473,-2.5,1.0637,0.6697,5,0.0,,,
474,3.5,0.9674,0.6691,5,6.0,,,
475,10.5,0.7061,0.6686,5,13.0,,,
476,-0.5,1.0496,0.6676,3,1.0,,,
477,16.5,0.9803,0.6668,7,20.0,,,
478,-1.5,1.0008,0.6665,3,0.0,,,
479,-1.0,1.6391,0.6663,2,0.0,,,
480,58.0,1.0468,0.6656,6,61.0,,,
481,17.0,0.9006,0.6649,8,21.0,,,
482,5.5,0.9552,0.6639,11,11.0,,,
483,-5.0,1.0308,0.6629,10,0.0,,,
484,38.0,0.9181,0.6622,8,42.0,,,
485,2.0,0.9629,0.6612,6,5.0,,,
486,0.5,1.1353,0.6607,3,2.0,,,
487,-1.0,0.93,0.6602,2,0.0,,,
488,16.5,0.893,0.6595,7,20.0,,,
489,9.0,1.0447,0.6585,12,15.0,,,
490,9.0,0.868,0.6575,8,13.0,,,
491,10.5,1.0874,0.6565,7,14.0,,,
492,21.5,0.9705,0.6556,11,27.0,,,
493,21.0,0.9397,0.655,6,24.0,,,
494,9.0,0.9356,0.6545,4,11.0,,,
495,8.0,0.9378,0.654,4,10.0,,,
496,-2.0,1.0293,0.653,8,2.0,,,
497,-2.5,1.0155,0.6524,5,0.0,,,
498,45.0,1.0219,0.6516,10,50.0,,,
499,10.0,0.9697,0.6512,4,12.0,,,
500,-5.0,1.0103,0.6502,10,0.0,0.9512,9.332,0.6595
501,30.0,1.0985,0.6492,8,34.0,,,
502,-1.5,0.9346,0.6484,5,1.0,,,
503,0.0,0.9581,0.6479,4,2.0,,,
504,-0.5,0.741,0.6477,1,0.0,,,
505,-1.0,0.8837,0.6473,2,0.0,,,
506,-2.5,0.9824,0.6463,7,1.0,,,
507,-0.5,1.4756,0.6462,1,0.0,,,
